产线	客户	微信收入金额	微信退款金额	开票金额
71	CDP集团	145	0	
71	eco002	1	0	
71	EcoTest004	19	12	
71	阿玛尼	148	0	
71	艾蒙斯特朗	28	0	
71	奥森多医疗	1	0	
71	达索析统（上海）信息技术有限公司	129	0	
71	道达尔集团	49	0	
71	德莎国际货运代理（上海）有限公司	31	0	
71	蒂森克虏伯	158	0	
71	东海岸（上海）股权投资管理有限公司	8	0	
71	恩派NPI	65	0	
71	恩思恩有限公司	99	0	
71	盖璞有限公司	61	0	
71	固特异	39	0	
71	广汽菲克	462	0	
71	海虹老人（中国）管理有限公司	12	0	
71	华住集团	1184	0	
71	聚思鸿	13	0	
71	凯杰生物	23	0	
71	凯杰-天根	50	0	
71	拉格代尔商业（上海）有限公司	177	0	
71	美克家居	102	0	
71	欧贝特	25	0	
71	欧菲	21	0	
71	普拉达	9	0	
71	泰利福	19	0	
71	天职咨询	3	0	
71	伟亚安	73	0	
71	文思海辉	2093	0	
71	文思海辉BG2	211	0	
71	喜利得（中国）商贸有限公司	8	0	
71	依视路光学有限公司	65	0	
71	易鑫	10	0	
71	浙江正泰新能源开发有限公司	30	0	
Test	Test	47.02	43	
